"accountid","accountname"
"109351305","Telit Wireless Solutions"
"106787205","CSL Dualcom"
"118035406","Latvenergo AS"
"159534105","ETA Automatizari Industriale"
"156996005","Northgate PLC"
"172229305","Intelitrack LTD"
"103831805","ComVision BV"
"107311605","EuropeTrack"
"123682806","VEHIZEN"
"185555406","FrameLOGIC Sp. z.o.o."
"168586705","Commander Systems s.r.o"
"125180206","M2M Services B.V"
"223568605","MAPON SIA"
"100166705","Tunstall AB"
"109224505","SmartSD B.V."
"126135006","Ironstreet International NV Ltd"
"139329606","Infobric AB"
"128890806","Hilltronic Warenhandels GmbH"
"220239905","BigChange Apps Limited"
"138854305","MiniFinder Sweden AB"
"135876406","SISTEER Ltd"
"138372105","Slimm Systems BV"
"128885806","Adaptive Modules"
"120852806","Evertracker GmbH"
"195526005","Inosat"
"111537705","2ma Technology AB"
"139863706","Vestigo Technologies Ltd"
"118341706","Vehco AB"
"109998405","Västtrafik"
"135462906","Södertörns Fjärrvärme AB"
"100116806","Schotte Systems AB"
"162715505","WebWayOne Ltd"
"185598906","Ruptela - Tele2"
"135806906","JSC Mobiliuju sprendimu centras"
"100194405","Teletec Connect AB"
"217817505","Groeneveld ICT Solutions"
"163523405","AHT Cooling Systems GmbH"
"149721106","M2Mconnected"
"109002005","Vektor Telematics"
"123717006","AddMobile"
"100192405","Elvaco AB"
"126051206","Security Monitoring Centre B.V."
"157753305","AVIC B.V."
"121765906","Zintouch B.V."
"231023005","Telit Wireless Inventory"
"117513806","Vattenfall AB"
"153898005","Fortum Distribution AB"
"117731806","Robert Bosch B.V."
"157837406","sim2connect GmbH"
"219577205","Amparos GmbH"
"217933205","Starcom GPS Systems LTD."
"231025505","IP Distri B.V."
"224361305","PPCT Finland Oy"
"158048205","Dogma Systems"
"162762105","Vaculink B.V"
"107926905","Webbing"
"108669605","Total Car Sweden AB"
"219598105","GreenFlux Assets B.V."
"130254006","GUV Electronics"
"230068205","M2M-A.Services-GmbH"
"220539605","Offentlig Säkerhet i Sverige AB"
"185967706","Commander Systems SRL"
"124227806","Samtrans Skol & Handikapptransporter AB"
"177585006","Avus Services GmbH"
"122712906","Amcrest Technologies LLC"
"121766406","Cubsec Bevakning AB"
"164644005","MobileTrack BV"
"163054805","Fink Zeitsysteme GmbH"
"162443206","Klöckner DESMA Elastomertechnik GmbH"
"137104006","Regent Mobile Security"
"147778606","Simco Europe BV"
"128885706","Comgate"
"206431105","N.V. Nuon Energy - Tele2"
"176741206","Mobile Sensory Technologies Sweden AB"
"231017805","Mastercom Oy"
"139820406","GEPRO Electronics BV"
"138603005","IP Specials BV"
"231020605","Paoli trade s.r.o NAM"
"230553205","Vattenfall Europe Innovation GmbH"
"185966706","Dolphin Technology ApS"
"224032205","CVS Mobile d.d."
"148398106","Svenska Alarm AB"
"161871705","Husqvarna AB"
"127631206","GSM Apsardze SIA"
"108370605","Multicom Security"
"131440306","Security Technology"
"220546405","9Solutions Oy"
"108628905","SafeTeam"
"160695606","RenoNorden AB"
"124898606","StreamTechnologies Limited"
"116240606","M2M Service Desk"
"155649105","Axtech AB"
"223197705","Spy Security Shop"
"132422206","MAC&NIL SRL"
"148813605","Audi Business Innovation GmbH"
"104946405","Run my security AB"
"231020505","Duocall Communicatons Ltd"
"106233905","Comlink AB"
"117354506","DETEC Security Solutions BV."
"221418505","DataVäxt AB"
