"hourstamp","week","day_of_week","metric","value"
"2017-02-01 00:00:00.000","5","3","countCL","6253"
"2017-02-01 00:00:00.000","5","3","countSAI","40073"
"2017-02-01 00:00:00.000","5","3","countUGL","2752"
"2017-02-01 00:00:00.000","5","3","countUL","6037"
"2017-02-01 00:00:00.000","5","3","gtpv1sum","64270"
"2017-02-01 00:00:00.000","5","3","gtpv2sum","0"
"2017-02-01 00:00:00.000","5","3","imsisum","14465"
"2017-02-01 00:00:00.000","5","3","mapsum","58711"
"2017-02-01 00:00:00.000","5","3","usagesum","379179997"
"2017-02-01 01:00:00.000","5","3","countCL","5269"
"2017-02-01 01:00:00.000","5","3","countSAI","41117"
"2017-02-01 01:00:00.000","5","3","countUGL","2396"
"2017-02-01 01:00:00.000","5","3","countUL","5944"
"2017-02-01 01:00:00.000","5","3","gtpv1sum","65531"
"2017-02-01 01:00:00.000","5","3","gtpv2sum","0"
"2017-02-01 01:00:00.000","5","3","imsisum","14743"
"2017-02-01 01:00:00.000","5","3","mapsum","58688"
"2017-02-01 01:00:00.000","5","3","usagesum","398189924"
"2017-02-01 02:00:00.000","5","3","countCL","5434"
"2017-02-01 02:00:00.000","5","3","countSAI","38355"
"2017-02-01 02:00:00.000","5","3","countUGL","2537"
"2017-02-01 02:00:00.000","5","3","countUL","5881"
"2017-02-01 02:00:00.000","5","3","gtpv1sum","59019"
"2017-02-01 02:00:00.000","5","3","gtpv2sum","0"
"2017-02-01 02:00:00.000","5","3","imsisum","14420"
"2017-02-01 02:00:00.000","5","3","mapsum","56758"
"2017-02-01 02:00:00.000","5","3","usagesum","340520783"
"2017-02-01 03:00:00.000","5","3","countCL","5436"
"2017-02-01 03:00:00.000","5","3","countSAI","37546"
"2017-02-01 03:00:00.000","5","3","countUGL","2579"
"2017-02-01 03:00:00.000","5","3","countUL","5868"
"2017-02-01 03:00:00.000","5","3","gtpv1sum","57057"
"2017-02-01 03:00:00.000","5","3","gtpv2sum","0"
"2017-02-01 03:00:00.000","5","3","imsisum","14053"
"2017-02-01 03:00:00.000","5","3","mapsum","55500"
"2017-02-01 03:00:00.000","5","3","usagesum","367444628"
"2017-02-01 04:00:00.000","5","3","countCL","6785"
"2017-02-01 04:00:00.000","5","3","countSAI","41974"
"2017-02-01 04:00:00.000","5","3","countUGL","3293"
"2017-02-01 04:00:00.000","5","3","countUL","7073"
"2017-02-01 04:00:00.000","5","3","gtpv1sum","54783"
"2017-02-01 04:00:00.000","5","3","gtpv2sum","1"
"2017-02-01 04:00:00.000","5","3","imsisum","14692"
"2017-02-01 04:00:00.000","5","3","mapsum","63485"
"2017-02-01 04:00:00.000","5","3","usagesum","443627344"
"2017-02-01 05:00:00.000","5","3","countCL","10435"
"2017-02-01 05:00:00.000","5","3","countSAI","50679"
"2017-02-01 05:00:00.000","5","3","countUGL","5241"
"2017-02-01 05:00:00.000","5","3","countUL","9367"
"2017-02-01 05:00:00.000","5","3","gtpv1sum","68081"
"2017-02-01 05:00:00.000","5","3","gtpv2sum","8"
"2017-02-01 05:00:00.000","5","3","imsisum","18236"
